km,Paparoa,Kaukau,TotaraFlats,MtVic,TongariroCrossing,GreytownMartinborough,Greytown,RemutakaRailTrail,ColonialKnob,WLGKapiti,PaekakarikiEscarpment,LakeWaikaremoana,HeaphyTrack,RouteburnTrack,TongariroNorthernCircuit,KeplerTrack,MilfordTrack,RakiuraTrack,BlueHut
17.8,1079.3,,707.8,,859.5,,64.4,250.8,,26,,587,791,1185,1279,1396,337,135,
17.9,1067.3,,729,,859,,62.2,254,,26,,599,794,1168,1289,1403,336,148,
18,1050.6,,745.2,,864,,61.6,253.8,,26,,595,788,1183,1299,1400,338,171,
18.1,1060.2,,744.4,,863.8,,62,255.6,,25,,602,782,1180,1300,1378,339,175,
18.2,1066.5,,753.7,,848.7,,61.8,256,,24,,596,767,1188,1289,1363,343,177,
18.3,1071.1,,764.5,,835.8,,62.4,255.8,,24,,595,773,1208,1282,1352,358,160,
18.4,1081,,764.8,,833.9,,61.8,255.6,,21,,605,785,1221,1283,1319,372,159,
18.5,1087.2,,759.9,,825.7,,61.2,257.8,,21,,608,775,1200,1290,1312,395,168,
18.6,1096.9,,749.5,,821.5,,59,257,,21,,601,775,1173,1297,1299,394,179,
18.7,1098.1,,754.3,,813,,60.4,256.4,,21,,603,772,1180,1300,1272,404,183,
18.8,1097.6,,748.2,,805.1,,58.6,254.8,,20,,598,769,1155,1301,1252,410,190,
18.9,1092.7,,746.9,,796.9,,65.8,255,,21,,596,761,1148,1286,1235,414,191,
19,1092.5,,738.9,,795.1,,60.6,255.2,,20,,607,750,1130,1267,1228,427,187,
19.1,1097.5,,733.5,,,,58.2,255,,20,,605,747,1127,1277,1219,432,183,
19.2,1093.7,,727.8,,,,58.4,253.4,,19,,604,742,1104,1333,1238,452,177,
19.3,1092.4,,727.1,,,,57,256.4,,18,,607,731,1081,1336,1222,451,165,
19.4,1089.1,,721,,,,56.4,257.4,,17,,596,729,1061,1339,1210,436,162,
19.5,1083.8,,709,,,,57,253.6,,17,,597,723,1049,1345,1191,428,165,
19.6,1083.3,,690.8,,,,56,250.2,,19,,603,726,1039,1348,1202,423,167,
19.7,1077.4,,679.1,,,,56.4,251.8,,18,,606,724,1026,1347,1213,409,165,
19.8,1071.7,,669.1,,,,56,252.6,,19,,604,719,1008,1357,1210,421,160,
19.9,1068.9,,656.6,,,,54.8,252.8,,21,,586,714,994,1362,1227,426,152,
20,1062.6,,644.1,,,,56.6,254,,20,,603,715,983,1362,1259,422,133,
20.1,1057.7,,633.1,,,,56.8,253.6,,17,,606,712,962,1370,1269,428,128,
20.2,1050.8,,622.7,,,,57.6,249.8,,15,,606,698,954,1379,1276,431,132,
20.3,1043.1,,611.2,,,,58.6,254.6,,15,,625,691,930,1384,1289,437,144,
20.4,1035.8,,609.4,,,,57.2,254.6,,12,,630,695,917,1392,1286,429,138,
20.5,1031.2,,602.5,,,,56.6,253.6,,11,,619,685,903,1387,1331,434,130,
20.6,1024.6,,571.2,,,,56.4,258.8,,9,,618,680,899,1392,1336,433,132,
20.7,1016.7,,554.6,,,,56.6,264.8,,11,,597,677,897,1395,1338,436,124,
20.8,992.1,,539.3,,,,53.6,264.6,,10,,615,673,898,1403,1354,445,115,
20.9,998.4,,524.8,,,,57.8,250.4,,10,,622,668,894,1415,1376,453,118,
21,1009.1,,509.5,,,,56.6,250.6,,11,,637,662,900,1408,1374,447,125,
21.1,1015.4,,507.2,,,,56.2,249.6,,11,,609,655,916,1407,1369,454,126,
21.2,1017.9,,484.2,,,,54.8,250.2,,10,,612,652,916,1419,1345,458,109,
21.3,1028.7,,471.9,,,,54.8,259,,7,,621,644,920,1424,1340,461,103,
21.4,1025.8,,452,,,,57.6,255.2,,6,,607,642,930,1424,1348,473,109,
21.5,1028.4,,431.1,,,,,,,6,,631,637,942,1419,1378,475,111,
21.6,1034.6,,413.3,,,,,,,7,,630,635,947,1422,1373,480,104,
21.7,1036.5,,399.8,,,,,,,10,,632,634,973,1423,1344,473,88,
21.8,1024.8,,387.9,,,,,,,10,,640,632,985,1429,1340,482,68,
21.9,1015.2,,376.4,,,,,,,7,,625,630,1010,1429,1357,485,56,
22,1010.9,,362,,,,,,,3,,642,632,1026,1437,1368,489,52,
22.1,1003.5,,347.6,,,,,,,3,,639,642,1022,1444,1351,492,53,
22.2,993.4,,347.8,,,,,,,3,,628,645,1025,1446,1314,496,56,
22.3,988.9,,341.4,,,,,,,4,,615,639,1021,1449,1290,501,73,
22.4,984.4,,337.2,,,,,,,-1,,615,623,1015,1453,1290,518,72,
22.5,976.6,,335.1,,,,,,,-1,,592,617,1022,1458,1307,528,52,
22.6,973.7,,334.9,,,,,,,-1,,639,619,1025,1469,1337,547,47,
22.7,968,,330.6,,,,,,,3,,612,616,1011,1475,1345,557,44,
22.8,960.9,,331.2,,,,,,,-1,,614,619,1011,1483,1340,575,29,
22.9,960.8,,327.4,,,,,,,1,,613,620,996,1509,1347,576,30,
23,958.9,,319.3,,,,,,,1,,610,614,986,1545,1323,591,29,
23.1,964.9,,313.7,,,,,,,-2,,607,611,986,1574,1316,614,28,
23.2,954.1,,309.1,,,,,,,-2,,610,614,988,1587,1299,618,39,
23.3,951.8,,309.3,,,,,,,-1,,605,614,990,1607,1300,622,47,
23.4,945.6,,,,,,,,,-2,,617,615,991,1642,1300,625,45,
23.5,945.4,,,,,,,,,-4,,600,615,1001,1679,1296,625,42,
23.6,931.8,,,,,,,,,-2,,606,616,1013,1697,1279,625,48,
23.7,926.7,,,,,,,,,-1,,622,618,1015,1697,1254,628,44,
23.8,916.8,,,,,,,,,8,,622,620,1007,1701,1230,618,41,
23.9,912.2,,,,,,,,,7,,625,623,1008,1699,1215,614,43,
24,909.8,,,,,,,,,2,,614,624,1013,1697,1216,617,47,
24.1,918.8,,,,,,,,,-5,,610,634,1013,1705,1199,615,51,
24.2,928.8,,,,,,,,,-5,,604,639,1007,1741,1175,619,51,
24.3,942.5,,,,,,,,,-5,,607,652,1009,1716,1149,620,47,
24.4,946.8,,,,,,,,,-3,,617,654,1000,1701,1143,624,48,
24.5,959.3,,,,,,,,,-3,,617,661,1001,1698,1136,630,60,
24.6,967.9,,,,,,,,,-2,,611,665,1002,1699,1116,656,45,
24.7,973.3,,,,,,,,,4,,606,665,988,1701,1098,672,47,
24.8,992.2,,,,,,,,,7,,600,675,991,1701,1077,688,53,
24.9,983.1,,,,,,,,,12,,589,691,991,1704,1066,711,58,
25,989.1,,,,,,,,,15,,602,702,988,1720,1038,723,49,
25.1,987.3,,,,,,,,,19,,605,703,990,1758,1002,784,49,
25.2,991.9,,,,,,,,,16,,603,711,993,1800,975,820,47,
25.3,987.5,,,,,,,,,9,,597,719,995,1834,956,793,37,
25.4,994.5,,,,,,,,,2,,603,715,994,1848,915,803,15,
25.5,995.5,,,,,,,,,-4,,600,713,990,1835,886,811,6,
25.6,1003.1,,,,,,,,,-4,,605,721,965,1841,873,825,11,
25.7,1014.7,,,,,,,,,-5,,605,722,975,1784,844,854,25,
25.8,1018.5,,,,,,,,,-4,,637,722,952,1742,829,854,34,
25.9,1013.9,,,,,,,,,-3,,668,725,947,1722,814,864,38,
26,1003.6,,,,,,,,,-2,,648,727,946,1694,790,877,51,
26.1,993.1,,,,,,,,,2,,617,728,923,1682,771,886,40,
26.2,985.9,,,,,,,,,-1,,592,725,918,1664,760,912,52,
26.3,968.8,,,,,,,,,-6,,605,726,898,1659,755,933,43,
26.4,953.7,,,,,,,,,-6,,593,718,884,1658,740,948,39,
26.5,943.2,,,,,,,,,-6,,594,717,884,1662,723,951,35,
26.6,944.2,,,,,,,,,-8,,588,715,869,1663,721,979,23,
26.7,952,,,,,,,,,-6,,595,714,869,1663,690,998,15,
26.8,959.9,,,,,,,,,-6,,597,710,844,1656,706,1011,17,
26.9,966.1,,,,,,,,,-5,,589,708,834,1650,670,1021,13,
27,960.8,,,,,,,,,-6,,586,704,835,1641,631,1030,19,
27.1,969.3,,,,,,,,,-5,,586,704,828,1630,601,1056,12,
27.2,966.3,,,,,,,,,-3,,600,701,813,1612,578,1071,16,
27.3,972.7,,,,,,,,,-2,,611,695,798,1590,561,1029,10,
